"","TC_Data3.Date","TC_Impressions","TC_Clicks","TC_Cost","TC_AvgPos","TC_Conversions","TC_Revenue"
"110","8/30/2015","2065853","33759","101777.739","1.260538399",5124,137759.8045
"111","8/31/2015","2490638","45401","135533.7094","1.307291259",6346,202660.6983
"112","9/1/2015","2302028","47328","140314.0093","1.407385915",6561,243100.8559
"113","9/2/2015","2015942","46092","138845.8395","1.274446686",6745,230797.6596
"114","9/3/2015","1891943","44031","132128.1515","1.298803307",6527,225856.779
"115","9/4/2015","1555416","42817","120002.0785","1.302323767",6059,203825.8724
"116","9/5/2015","1609686","33857","97064.52043","1.248587941",5387,151717.9575
"117","9/6/2015","1766327","28849","88156.44996","1.242548528",4912,120686.5866
"118","9/7/2015","2111211","34953","105901.9602","1.321324373",5449,161391.6208
"119","9/8/2015","2204653","46827","142529.5096","1.383875761",7220,246009.8548
"120","9/9/2015","2118398","46565","147977.4502","1.313075143",7651,253378.1204
"121","9/10/2015","2354201","45901","144199.7594","1.283418054",7356,247007.4555
"122","9/11/2015","2149100","42439","127579.3401","1.251649988",6235,202264.0871
"123","9/12/2015","1787422","35790","107002.5392","1.253155978",5419,143019.3728
"124","9/12/2015","1787422","35790","107002.5392","1.253155978",5419,143019.3728
"125","9/12/2015","1787422","35790","107002.5392","1.253155978",5419,143019.3728
"126","9/12/2015","1787422","35790","107002.5392","1.253155978",5419,143019.3728
"127","9/13/2015","1844257","33749","104067.2099","1.246822551",5411,149935.2455
"128","9/14/2015","2124860","46365","140816.8891","1.311131365",6982,198098.3326
"129","9/15/2015","2099891","47634","147848.182","1.364430504",7522,210786.1063
"130","9/16/2015","1865624","46195","144981.9891","1.313468198",7505,235356.906
"131","9/17/2015","1843717","45099","138431.6297","1.306408091",6915,214057.0388
"132","9/18/2015","1889413","44188","133397.5608","1.279256351",6376,206140.893
"133","9/19/2015","2028786","36022","110757.3093","1.218183333",5496,152179.3207
"134","9/20/2015","2212789","35059","111231.4408","1.225427493",5552,136165.6985
"135","9/21/2015","2066738","44825","143614.8707","1.29947804",6882,225052.9482
"136","9/22/2015","2153749","44821","151392.6207","1.363246303",7008,221408.7058
"137","9/23/2015","2179038","42182","144024.4719","1.302591388",6764,223936.1066
"138","9/24/2015","1714725","41528","135614.0198","1.366208363",6591,208858.0041
"139","9/25/2015","1556946","39029","124465.8897","1.353235601",5723,186475.9314
"140","9/26/2015","1548731","32931","105019.2599","1.29353721",5095,131277.7345
"141","9/27/2015","1819055","31003","104625.61","1.262386718",5053,129447.4867
"142","9/28/2015","2045643","43434","148369.5805","1.320073615",7026,209748.9392
"143","9/29/2015","1935784","43249","151878.2561","1.938683258",7257,234399.9105
"144","9/30/2015","2196456","44684","156076.0271","1.852962846",6963,231033.4307
"145","10/1/2015","2762134","44812","147144.0302","1.780177743",6560,254414.6875
"146","10/2/2015","2518346","44840","140841.4424","1.781917915",6181,205828.6854
"147","10/2/2015","2518346","44840","140841.4424","1.781917915",6181,205828.6854
"148","10/2/2015","2518346","44840","140841.4424","1.781917915",6181,205828.6854
"149","10/2/2015","2518346","44840","140841.4424","1.781917915",6181,205828.6854
"150","10/3/2015","2560604","39043","126676.7393","1.759218505",5764,160028.9907
"151","10/4/2015","2547679","37870","125284.187","1.758495268",5789,162985.6238
"152","10/5/2015","2757909","50842","165246.0162","1.744609324",7483,233781.9764
"153","10/6/2015","2524962","48742","163249.5776","1.788374709",7415,252734.6282
"154","10/7/2015","2809724","47340","161009.5061","1.748315092",7661,254435.3315
"155","10/8/2015","2790425","47329","158278.4562","1.685941236",7509,230813.9267
"156","10/9/2015","2600495","46044","146159.7077","1.704064944",6761,208191.1093
"157","10/10/2015","2220328","38614","121285.2588","1.745256397",6075,149818.3048
"158","10/11/2015","2269818","36039","120792.6852","1.683417736",5865,142692.6367
